2.474053 0.928631 7.559743  0.310262 0.413621
151.629745 -16.074430 89.788307  23.694540 24.004580 24.422100 21.624800 18.830950 19.452110 21.004610 22.762490 22.969530 23.176610 23.384670 25.556300 26.177790 24.935580 26.693580 22.452170 22.038410 19.866980 20.383850
76.316498 -5.087594 68.134460  18.830950 19.452110
116.636719 -19.064514 63.898407  17.175580 17.693880 18.830950 19.452110 18.209790
79.052826 -3.657456 66.343178  18.830950 19.452110 18.209790
79.468903 -3.841292 67.178818  18.830950 18.209790
75.591583 -3.643855 67.331062  18.830950 18.209790
108.798233 -12.607741 66.564873  19.452110 18.209790 21.004610 22.038410
107.811325 -9.846262 83.235092  23.694540 24.004580 21.624800 21.004610 22.762490 22.969530 23.176610 23.384670 22.452170 22.038410
113.118973 -13.698159 95.160011  22.762490 22.969530 23.176610
106.934990 -6.256137 81.083580  23.694540 22.969530 23.176610 23.384670
106.971565 -11.176832 83.902794  23.694540 24.004580 23.176610
106.851799 -12.029625 83.845032  23.176610 23.384670
100.590080 -5.895311 77.471939  23.694540 23.384670
112.623352 -13.594945 97.135109  24.004580 22.762490 22.969530 23.176610 23.384670
107.116737 -9.888268 83.838089  23.694540 24.422100 23.384670
98.840721 -5.777773 76.843559  23.694540 23.384670
151.672852 -15.410031 101.683884  23.694540 24.004580 24.422100 22.762490 23.384670 25.556300 27.727690 29.692890
112.742805 -9.666607 85.161903  25.556300 26.177790
156.976944 -11.138000 116.220306  25.556300 26.177790 24.935580 26.693580 27.107250 27.417420 28.037820 27.727690 28.451340 28.866830 29.279330 30.106560 30.726980 29.692890
140.494690 -10.259735 96.489548  24.935580 26.693580 27.417420 28.037820 27.727690 28.451340
139.595886 -8.501620 88.563995  26.693580 27.107250 27.417420
148.554459 -18.279718 91.104546  25.556300 26.177790 26.693580 27.107250 27.417420
136.625244 -8.477908 88.872894  27.417420 28.037820 27.727690 28.451340 28.866830
136.984589 -10.786986 92.047935  28.037820 27.727690 28.451340
141.771118 -13.702050 90.346207  27.417420 28.037820 27.727690 28.451340
135.953613 -9.448609 89.659142  28.451340 28.866830
196.662445 -18.942215 152.487793  27.727690 28.451340 28.866830 29.279330 30.106560 29.692890
141.254929 -10.029091 114.779755  29.279330 30.106560 30.726980 31.244240 29.692890
146.101898 -9.439547 114.924545  30.106560 30.726980 31.244240 31.661730
147.639359 -9.568377 116.237946  30.726980 31.244240 31.661730 32.176640
292.612427 -21.393425 158.362396  50.896200
303.674927 -23.536051 165.981201  51.309660 50.896200
143.081284 -11.704215 116.416893  31.244240 31.661730
155.643234 -11.061317 130.907715  31.244240 31.661730 32.176640 32.589890 33.106800
188.531097 -25.123947 156.077423  31.244240 31.661730 32.176640 32.589890 33.106800 33.623980
176.860764 -12.981458 143.820099  32.589890 34.244700 34.451590 34.659100 34.866170 35.900040 35.176790
160.791885 -13.359862 130.378021  34.244700 34.451590 34.659100
279.348053 -21.467989 201.767288  34.451590 33.106800 33.934650 34.659100 34.866170 35.486280 35.900040 36.417070 37.040370 39.417430 40.865860 41.385110 41.592690 42.313830 40.660160 35.176790 37.451400 39.831290 42.003560
185.288086 -22.394316 146.467300  34.244700 33.106800 33.934650
185.318466 -23.514912 148.623047  34.244700 33.934650 33.623980
292.876984 -23.705084 211.343842  32.589890 34.244700 33.106800 33.934650 33.623980 34.659100 35.486280 36.417070 38.382320 39.417430 40.865860 41.072760 41.385110 41.592690 42.210320 40.660160 38.899920 40.245190 39.831290 41.796670 42.003560 41.900180 37.968550
167.096817 -14.968661 142.403870  34.659100 34.866170 35.176790
284.709412 -22.752687 196.313675  34.866170 35.486280 35.900040 36.417070 37.040370 39.417430 40.865860 41.072760 41.592690 42.210320 42.313830 35.176790 37.451400 38.899920 40.245190 39.831290 41.796670 42.520590 43.140760 43.660340 43.971430 44.278660 44.899580 44.589150 45.107140 42.003560 42.934150 41.900180 42.727360 43.450910 43.244710 37.968550
204.168427 -17.858809 140.895889  35.486280 35.900040 37.040370 38.382320 37.451400 38.899920 37.968550
177.065231 -15.585370 143.928101  35.900040 36.417070
184.306168 -12.288213 142.950211  36.417070 37.040370
285.923126 -22.728239 186.837692  37.040370 38.382320 39.417430 41.385110 40.660160 40.245190 39.831290
276.966919 -23.158098 242.341721  38.382320 39.417430 40.865860 41.072760 41.385110 41.592690 40.660160 40.245190 39.831290 41.796670 42.003560 41.900180
266.043488 -20.149256 163.629745  39.417430 40.865860 42.210320 42.520590 43.140760 43.660340 42.934150 41.900180 42.727360 43.450910 43.244710 45.727180
210.526855 -14.201364 146.988007  40.865860 41.072760
236.417618 -16.732262 150.277985  41.072760 41.385110 41.592690 42.210320 42.313830 41.796670 42.003560 41.900180
798.422180 -171.690964 270.744263  41.385110 41.592690 42.210320 42.313830 41.796670 42.520590 43.140760 43.971430 44.278660 44.589150 45.416890 47.795800 48.002630 48.829380 48.519480 49.242780 51.309660 46.037440 47.175200 47.485460 49.656580 48.209330 50.069330 50.896200 46.761380 46.968250 42.003560 42.934150 41.900180 42.727360 43.450910 43.244710 46.244200
226.518829 -15.752568 152.557648  41.592690 42.210320 41.796670 42.520590 42.003560 42.727360
222.897995 -15.811746 155.469086  42.210320 42.313830 42.520590 42.934150 42.727360
529.532471 -80.929054 411.190826  41.072760 41.385110 41.592690 42.210320 42.313830 40.660160 41.796670 42.520590 42.003560 41.900180 43.450910
545.723083 -86.201584 382.243103  34.244700 33.106800 33.934650 34.659100 35.900040 38.382320 39.417430 40.865860 41.072760 41.385110 41.592690 42.210320 40.660160 35.176790 37.451400 38.899920 40.245190 39.831290 41.796670 43.140760 43.660340 43.971430 44.278660 44.899580 51.309660 42.003560 42.934150 41.900180 42.727360 43.450910 43.244710 37.968550
175.155014 -16.290913 152.705414  34.659100 34.866170 35.176790
171.684052 -11.321330 134.725464  35.486280 35.176790
174.393295 -11.447842 136.122681  35.486280 35.900040 35.176790
176.308014 -12.885433 142.902679  35.486280 35.900040 35.176790
291.015259 -23.192348 195.811859  34.244700 34.451590 33.934650 34.659100 35.486280 35.900040 36.417070 37.040370 38.382320 39.417430 40.865860 41.072760 41.385110 41.592690 40.660160 35.176790 37.451400 38.899920 40.245190 39.831290 41.796670 42.520590 43.140760 43.660340 43.971430 42.003560 42.934150 41.900180 42.727360 43.244710 37.968550
278.419342 -20.952057 206.508957  37.040370 39.417430 40.865860 41.072760 41.385110 41.592690 42.210320 42.313830 40.660160 37.451400 38.899920 40.245190 39.831290 41.796670 42.520590 43.140760 43.660340 43.971430 44.278660 44.589150 42.003560 42.934150 41.900180 42.727360 43.450910 43.244710 37.968550
258.801575 -27.653448 164.003723  40.865860 41.385110 42.210320 38.899920 40.245190
278.943848 -23.341885 229.755630  40.865860 41.072760 41.385110 41.592690 42.210320 42.313830 40.660160 40.245190 39.831290 41.796670 42.520590 42.003560 42.934150 41.900180 42.727360
277.528717 -24.420086 240.750717  40.865860 41.072760 41.385110 40.660160 39.831290
493.771576 -73.437653 277.032867  41.072760 41.592690 40.660160 39.831290 41.796670
226.623978 -15.730376 153.696365  41.592690 41.796670 42.520590 42.934150 42.727360
454.957703 -66.068672 335.438751  42.520590 43.140760 43.660340 43.971430 42.934150 42.727360 43.450910 43.244710
257.228638 -18.399336 153.414932  43.140760 43.660340 43.971430 44.278660 44.899580 44.589150 45.416890 45.107140 43.450910 45.727180
240.065598 -17.668900 150.291931  43.660340 43.971430 44.278660 44.589150
333.654480 -39.809376 278.934479  43.971430 44.278660
252.440811 -18.013014 158.486633  44.278660 44.899580 45.416890 45.107140
289.931580 -25.347357 152.594025  44.899580 44.589150 45.416890 48.002630 48.829380 48.519480 49.242780 47.175200 48.209330 46.761380 46.968250
243.840347 -17.133408 153.977722  44.899580 44.589150
251.023422 -17.749453 156.223679  44.278660 44.899580 44.589150 45.416890
255.894180 -18.810406 153.818390  45.416890 46.554470 46.037440
358.132294 -28.140989 167.181229  46.554470 47.795800 49.242780 48.209330 50.069330
273.830444 -20.287502 162.121338  47.795800 48.002630 48.209330
290.768768 -24.799515 151.571899  47.795800 48.002630 48.829380 48.519480 48.209330
362.575623 -30.808947 160.292908  48.002630 48.829380 48.519480 49.242780 49.656580 50.483680 50.069330
628.678345 -112.889740 331.175110  48.002630 48.829380 48.519480 49.242780 51.309660 49.656580 50.483680 50.896200
450.620453 -53.317619 188.430649  48.829380 49.242780 51.309660
300.898071 -23.229773 166.445679  51.309660
442.557587 -53.738533 179.481461  45.416890 47.795800 48.002630 48.829380 48.519480 49.242780 51.309660 46.037440 47.485460 49.656580 50.483680 48.209330 50.896200 46.968250
265.262360 -22.832222 165.963730  46.554470 46.037440 47.175200 46.761380 46.968250
268.398834 -20.181852 162.637527  47.175200 47.485460
320.734680 -37.482277 153.827972  47.175200 47.485460
338.587830 -26.169638 165.862885  47.795800 48.519480 49.242780 47.485460 49.656580 50.069330 50.896200
343.580933 -33.402782 196.975815  49.242780 51.309660 49.656580 50.483680 50.069330 50.896200
750.257874 -156.700607 276.086273  49.242780 47.485460 50.483680 48.209330
402.684052 -38.645344 167.123367  46.554470 48.829380 48.519480 49.242780 51.309660 49.656580 50.483680 48.209330 50.069330
663.245911 -133.632339 241.393814  48.002630 48.829380 48.519480 49.242780 51.309660 50.483680 50.069330
297.900085 -23.841726 154.552078  51.309660 49.656580 50.483680 50.069330 50.896200
316.171082 -24.873175 154.407852  51.309660 50.483680 50.069330 50.896200
351.244354 -32.145382 186.165756  51.309660 50.896200
297.838959 -21.823000 156.809540  51.309660 50.896200
302.898651 -22.354633 156.560226  51.309660 50.896200
300.669769 -22.145090 157.321060  51.309660 50.483680 50.896200
291.867584 -21.423258 161.618942  50.896200
515.688232 -73.935905 229.117783  50.483680 50.896200
436.367004 -39.284855 177.773834  51.309660 50.483680 50.069330 50.896200
295.794128 -21.679281 157.513504  51.309660 50.896200
294.734802 -21.591362 156.671875  51.309660 50.896200
408.045074 -38.284882 169.966507  51.309660 49.656580 50.483680 50.896200
417.296448 -42.410023 173.474121  51.309660 50.896200
291.704742 -21.314627 158.893967  50.896200
440.920715 -57.632034 175.556305  51.309660 50.483680 50.069330 50.896200
298.437317 -24.781055 155.162628  51.309660 50.896200
259.564453 -18.542397 158.885864  46.554470 46.037440 45.727180 46.244200
259.569519 -18.522835 158.519852  46.554470 46.244200
261.688141 -19.040928 163.008026  46.037440 46.244200
260.603546 -19.219923 162.864548  45.416890 46.554470 46.761380 46.968250 45.727180 46.244200
261.420868 -19.591759 162.785965  46.037440 45.727180 46.244200
431.473083 -50.227573 192.205597  49.656580 50.069330 50.896200
308.542969 -23.003010 155.517349  51.309660 50.896200
329.961517 -28.171957 171.601700  51.309660 50.896200
333.514923 -30.148506 172.739395  51.309660 50.896200
298.901093 -22.472292 164.975357  50.896200
296.443542 -21.949608 162.510117  51.309660 50.896200
297.837555 -22.243912 163.140030  51.309660 50.896200
792.043762 -151.370544 574.336975  51.309660 50.896200
298.059113 -21.844187 162.236984  51.309660 50.896200
296.994751 -21.896437 162.364502  51.309660 50.896200
298.848633 -22.181633 162.519684  51.309660 50.896200
342.427032 -26.341524 160.308121  51.309660 50.483680 50.069330 50.896200
348.602905 -34.539692 190.449615  51.309660 50.483680 50.896200
344.445099 -30.552313 193.923965  48.829380 49.242780 51.309660 49.656580 50.483680 50.069330 50.896200
292.318481 -21.365995 157.669937  50.896200
291.915802 -21.298140 157.999573  50.896200
292.553345 -21.391357 158.043076  50.896200
291.967438 -21.334917 158.635590  50.896200
294.389221 -23.195833 154.515518  51.309660 50.896200
336.855347 -29.929314 170.487732  49.242780 51.309660 50.896200
328.318237 -28.057472 170.334641  51.309660 49.656580 50.069330 50.896200
300.139801 -22.684195 164.973465  50.896200
301.471039 -23.383846 165.669327  51.309660 50.896200
303.672546 -23.735489 165.835724  51.309660 50.896200
310.412628 -29.320799 149.834061  51.309660 50.896200
294.410797 -21.569542 157.146561  50.896200
295.759216 -21.648344 157.103622  51.309660 50.896200
291.791901 -21.336775 157.193604  50.896200
300.507996 -23.611313 165.871597  50.896200
300.287048 -23.726208 166.108841  51.309660 50.896200
300.443634 -23.786949 167.719437  51.309660 50.896200
307.232971 -23.830503 165.884506  51.309660 50.896200
308.576721 -24.140459 166.662369  51.309660 50.896200
312.166168 -28.195795 149.018555  50.483680 50.896200
297.854218 -24.116472 154.502075  51.309660 50.896200
298.075928 -24.345530 154.193268  51.309660 50.896200
290.469330 -22.128094 154.424088  50.896200
289.868988 -22.096790 154.539185  50.896200
292.562195 -22.341961 154.680771  50.896200
290.635956 -22.085548 154.834412  50.896200
292.191010 -21.522942 155.021301  50.896200
297.368195 -24.579824 151.517075  50.896200
294.399994 -22.351696 155.120361  51.309660 50.896200
296.395111 -23.025604 155.042191  50.896200
294.058350 -22.369034 155.068253  51.309660 50.896200
294.126007 -22.756811 154.573181  51.309660 50.896200
294.853088 -22.950190 154.893326  51.309660 50.896200
292.608154 -21.402348 155.929504  50.896200
291.898071 -21.329025 156.294235  50.896200
293.446106 -21.487537 155.941116  50.896200
303.509552 -22.320936 157.928101  51.309660 50.896200
324.234467 -24.537224 158.338516  51.309660 50.896200
292.666016 -21.414982 156.586685  50.896200
294.023926 -21.554966 156.425308  50.896200
297.266296 -23.423655 155.089066  51.309660 50.896200
337.967407 -27.124256 154.728806  51.309660 50.896200
288.241394 -22.795555 157.626846  50.896200
298.691803 -24.721251 155.521042  50.896200
298.728760 -21.930292 159.530823  51.309660 50.896200
307.122620 -22.721668 161.607147  51.309660 50.896200
310.149414 -23.100243 163.470016  51.309660 50.896200
304.015076 -22.392050 159.182510  51.309660 50.896200
301.811584 -22.341385 162.573639  50.896200
303.576141 -22.565298 162.862350  51.309660 50.896200
293.622375 -21.441633 160.412766  50.896200
574.032837 -109.127869 207.253860  49.242780 51.309660 49.656580 50.483680 50.896200
698.676880 -147.395172 202.442184  48.829380 48.519480 49.242780 47.485460 48.209330 50.896200 46.761380 46.968250
320.191040 -26.783661 186.300583  46.554470 46.761380 46.968250
310.997131 -28.489038 152.924316  47.795800 48.002630 48.829380 48.519480 49.242780 51.309660 47.485460 49.656580 50.483680 48.209330 50.069330 50.896200 46.968250
311.176849 -31.498789 153.341995  47.795800 48.002630 48.829380 48.519480 49.242780 47.175200 47.485460 49.656580 48.209330 46.968250
870.341797 -189.327942 327.724274  46.554470 47.795800 48.002630 48.829380 48.519480 49.242780 51.309660 47.175200 47.485460 49.656580 50.483680 48.209330 46.761380 46.968250
263.622131 -18.881487 158.548309  47.175200 46.968250
266.806702 -19.115046 159.665421  47.175200 47.485460 46.968250
298.206207 -23.607445 174.492752  47.175200 47.485460 46.968250
336.580414 -28.701389 199.930237  46.554470 47.795800 48.002630 48.829380 51.309660 47.175200 47.485460 48.209330 50.069330 50.896200 46.761380 46.968250
289.949524 -25.139965 153.098206  47.795800 48.002630 49.656580 48.209330 46.968250
330.457092 -28.848297 181.103806  47.795800 48.002630 48.829380 47.485460 48.209330 46.968250
347.343994 -33.374397 187.312729  47.795800 47.485460 46.968250
540.121765 -65.606277 226.445648  47.795800 48.002630 47.175200 47.485460 48.209330 46.968250
481.072021 -63.172943 208.141815  41.072760 41.385110 41.592690 40.660160 43.971430 44.899580 44.589150 45.416890 47.795800 48.002630 48.519480 49.242780 51.309660 47.175200 47.485460 49.656580 50.483680 48.209330 50.069330 46.761380 46.968250 45.107140 45.727180
459.932739 -53.492661 190.546173  41.072760 41.385110 42.210320 41.796670 42.520590 43.140760 43.660340 43.971430 44.278660 44.589150 46.554470 48.519480 49.656580 48.209330 50.069330 50.896200 46.761380 46.968250 45.107140 42.003560 42.934150 42.727360 43.450910 43.244710 45.727180 46.244200
227.140961 -18.583120 148.339996  42.520590 43.140760 42.003560 42.934150
293.936432 -33.494015 235.179474  42.210320 42.313830 41.796670 42.520590 43.660340 42.003560 42.934150 41.900180 42.727360 43.450910
278.038086 -28.420521 242.370209  41.796670 42.003560 41.900180
343.839874 -40.517216 273.682953  42.313830 42.520590 43.140760 43.660340 42.934150 41.900180 42.727360 43.450910 43.244710
642.561218 -132.505920 193.492706  42.520590 43.660340 44.899580 45.416890 46.554470 48.519480 47.485460 46.968250 45.107140 42.003560 41.900180 42.727360 43.450910 46.244200
285.944427 -22.506226 185.243820  43.140760 43.660340 44.278660 45.416890 46.554470 45.107140 43.450910 43.244710 45.727180 46.244200
296.435883 -28.340904 215.506241  43.140760 42.934150 43.244710
513.663208 -100.879578 156.959137  43.140760 43.660340 42.934150 42.727360 43.450910 43.244710
286.289185 -22.177851 200.645187  42.727360 43.450910 43.244710
239.041870 -16.675953 151.385971  43.140760 43.660340 43.971430 43.450910 43.244710
233.711136 -16.291922 153.249985  43.660340 43.450910 43.244710
236.170044 -16.523502 154.059448  43.140760 43.660340 43.971430 43.450910 43.244710
276.467163 -20.553513 183.778442  43.140760 43.660340 43.450910 43.244710
240.018982 -17.103868 150.590607  43.660340 44.278660 44.589150 43.450910 43.244710
240.043930 -17.664881 150.302292  43.660340 43.971430 43.450910 43.244710
291.663879 -28.651527 211.474472  43.971430 43.450910 43.244710
397.666656 -50.883980 312.332703  43.140760 42.934150 43.244710
294.718781 -32.495132 216.517029  43.660340 43.971430 44.278660 44.899580 44.589150 45.416890 45.107140 42.934150 43.450910 43.244710
304.856140 -25.472332 197.254044  43.140760 43.971430 42.934150 42.727360 43.450910 43.244710
239.812897 -17.086674 162.570038  43.140760 43.450910 43.244710
436.807312 -39.139297 177.367569  42.210320 42.313830 41.796670 42.520590 43.140760 43.660340 43.971430 44.278660 44.899580 44.589150 45.416890 46.554470 47.795800 48.002630 48.829380 48.519480 49.242780 51.309660 46.037440 47.175200 47.485460 49.656580 50.483680 48.209330 50.069330 50.896200 46.761380 46.968250 45.107140 42.003560 42.934150 41.900180 42.727360 43.450910 43.244710 45.727180 46.244200
311.180115 -31.472528 153.322983  46.554470 47.795800 48.002630 48.829380 48.519480 49.242780 46.037440 47.175200 47.485460 49.656580 48.209330 46.968250 45.727180
411.539581 -34.117474 166.913208  47.795800 48.002630 48.829380 48.519480 49.242780 49.656580 50.483680 48.209330 50.896200 45.727180
288.148041 -22.960693 180.981537  45.416890 46.037440 45.727180
257.279144 -18.354168 158.782715  46.554470 46.037440 45.727180 46.244200
261.860168 -18.713552 159.195694  46.554470 46.761380 46.968250 46.244200
264.967346 -19.097717 159.519745  47.175200 46.761380 46.968250 46.244200
508.631348 -61.965458 205.298294  46.554470 49.242780 46.761380 46.244200
259.758820 -18.540588 158.900055  46.554470 46.037440 46.761380 46.244200
300.167450 -23.536522 170.503433  44.899580 45.416890 46.554470 47.795800 48.002630 48.829380 48.519480 49.242780 47.485460 49.656580 48.209330 50.069330 46.761380 45.727180 46.244200
265.498779 -20.769882 166.126175  46.554470 46.037440 46.968250 46.244200
330.621643 -27.208393 179.400055  46.037440 48.209330 50.896200 45.107140 46.244200
296.633545 -23.809210 173.434326  45.416890 46.554470 48.829380 48.519480 46.037440 47.175200 47.485460 48.209330 46.761380 46.968250 45.727180 46.244200
263.711975 -19.272022 162.515747  46.554470 47.175200 46.761380 46.968250 46.244200
268.617798 -24.298222 149.194550  46.554470 46.761380 46.968250 46.244200
255.860245 -18.810797 153.845871  46.554470 46.244200
255.929703 -18.663261 154.600937  46.554470 46.244200
256.830536 -18.400723 153.303268  46.554470 46.244200
267.860352 -19.254734 156.580917  46.554470 47.175200 47.485460 46.761380 46.968250 46.244200
262.425995 -18.813347 157.317657  46.554470 46.968250 46.244200
279.760651 -20.319416 157.346375  46.554470 47.795800 48.002630 47.175200 47.485460 48.209330 46.761380 46.968250 46.244200
290.554047 -24.490562 152.052826  45.416890 46.554470 47.795800 48.002630 48.519480 49.242780 46.037440 47.175200 47.485460 49.656580 48.209330 50.069330 46.761380 46.244200
279.365814 -24.067152 150.808762  46.554470 46.037440 47.175200 47.485460 46.761380 46.968250 46.244200
314.685608 -33.964958 158.382019  47.795800 48.002630 48.519480 46.037440 47.175200 47.485460 48.209330 46.761380 46.968250 46.244200
597.267517 -91.345993 192.554459  45.416890 47.795800 48.519480 46.037440 47.175200 48.209330 46.761380 43.450910 46.244200
869.048950 -202.419418 192.987549  44.589150 47.795800 48.002630 48.829380 48.519480 46.037440 47.175200 47.485460 48.209330 46.244200
311.789429 -33.462463 155.379562  45.416890 46.554470 47.795800 48.002630 48.829380 48.519480 46.037440 47.175200 47.485460 48.209330 46.761380 46.968250 45.727180 46.244200
366.274292 -31.708769 169.124283  45.416890 46.554470 47.795800 48.002630 48.829380 48.519480 46.037440 47.175200 47.485460 48.209330 46.761380 46.968250 45.727180 46.244200
309.848572 -29.887924 157.352829  46.554470 47.795800 48.002630 48.829380 48.519480 49.242780 46.037440 47.485460 50.483680 48.209330 50.069330 46.244200
287.726318 -22.512241 154.261734  47.795800 48.002630 47.175200 47.485460 48.209330 46.968250 46.244200
310.634979 -31.261637 155.821991  44.899580 45.416890 46.554470 47.795800 48.002630 48.829380 48.519480 49.242780 47.175200 49.656580 48.209330 46.761380 45.107140 46.244200
263.755463 -18.881983 158.613876  46.761380 46.968250 46.244200
534.282043 -82.177879 194.053833  46.554470 48.829380 48.519480 49.242780 51.309660 50.483680 46.244200
574.485168 -111.441734 208.511841  42.520590 43.140760 43.660340 43.971430 44.899580 44.589150 47.795800 48.002630 46.037440 47.175200 47.485460 48.209330 46.761380 46.968250 45.107140 42.934150 45.727180 46.244200
705.136597 -145.285004 245.002258  44.278660 46.554470 47.175200 46.761380 46.968250 45.727180 46.244200
266.330231 -22.171272 160.286133  46.554470 46.037440 46.761380 46.244200
289.253204 -24.628609 162.319946  44.899580 45.416890 48.519480 46.037440 49.656580 46.761380 45.107140 45.727180 46.244200
308.220917 -24.868767 166.978317  43.971430 44.278660 45.416890 46.554470 48.519480 47.175200 47.485460 46.761380 46.968250 45.727180 46.244200
260.608429 -19.240473 162.845261  46.554470 46.037440 46.968250 46.244200
265.988556 -20.037079 163.471817  46.554470 46.037440 46.761380 46.244200
257.917908 -19.524870 152.048660  46.554470 46.244200
256.250763 -19.385880 153.179031  46.554470 46.037440 46.244200
268.614380 -24.276365 149.206863  46.554470 46.761380 46.244200
255.922684 -19.240330 154.388214  46.554470 46.761380 46.244200
256.060516 -19.452700 154.506943  46.554470 46.037440 46.244200
255.867752 -18.812040 153.838745  46.554470 46.037440 46.244200
255.845200 -19.350431 153.883331  46.554470 46.761380 46.244200
256.092529 -18.642084 154.493820  46.037440 46.244200
257.104279 -18.344412 153.341049  46.554470 46.037440 46.244200
276.862518 -20.081579 156.539474  46.554470 48.002630 47.175200 47.485460 48.209330 46.761380 46.968250 46.244200
267.005890 -19.177549 156.169662  46.554470 46.761380 46.968250 46.244200
294.890289 -22.009602 155.592712  46.554470 48.519480 46.037440 46.968250 45.727180 46.244200
258.889709 -18.511446 156.312286  46.554470 46.037440 46.244200
257.683990 -18.409742 156.745758  46.554470 46.244200
314.072205 -33.798187 158.367203  46.554470 47.795800 48.002630 49.242780 46.037440 47.175200 47.485460 48.209330 46.761380 46.968250 46.244200
311.106995 -31.719475 153.158768  47.485460 48.209330 46.968250 46.244200
699.978577 -155.298203 131.197159  43.140760 43.660340 43.971430 44.278660 44.899580 44.589150 46.037440 46.761380 46.968250 45.107140 43.450910 43.244710 45.727180 46.244200
570.143372 -116.125648 149.287064  44.278660 45.416890 46.037440 45.727180 46.244200
287.951416 -22.531050 154.277771  48.829380 48.519480 47.175200 47.485460 48.209330 46.761380 46.968250 46.244200
349.565521 -28.117891 155.765930  46.554470 47.795800 48.002630 48.829380 47.175200 47.485460 48.209330 46.761380 46.968250 46.244200
311.239258 -30.687780 156.175827  45.416890 46.554470 47.795800 48.002630 48.519480 46.037440 47.175200 47.485460 48.209330 46.968250 45.727180 46.244200
266.612854 -19.610769 160.330673  46.554470 47.175200 46.761380 46.968250 46.244200
263.232666 -18.901079 158.539993  46.761380 46.968250 46.244200
264.930756 -19.097544 159.517395  46.554470 46.761380 46.968250 46.244200
307.843079 -22.807114 163.288208  45.416890 46.554470 47.795800 48.002630 48.829380 48.519480 46.037440 47.175200 47.485460 48.209330 46.761380 46.968250 45.107140 45.727180 46.244200
263.721466 -19.267796 162.528854  46.554470 46.037440 47.175200 46.761380 46.968250 46.244200
452.503052 -59.644344 182.662598  41.592690 42.313830 41.796670 43.140760 43.660340 44.278660 46.037440 43.244710 45.727180 46.244200
562.165466 -105.451363 220.785873  47.795800 48.002630 48.829380 48.519480 49.242780 46.037440 47.175200 47.485460 49.656580 48.209330 46.761380 46.968250 46.244200
