-0.198309 1.527699 10.382841  0.311075 0.414692
4.528032 -2.220296 95.026031  7.878754 7.464167 7.671396 8.811795 9.226512 8.500847 8.293470 9.641587 10.160830 11.511920 12.237100 10.784610
0.211032 -10.941762 117.353142  7.153323 7.878754 7.464167
0.331538 -5.930132 94.936127  7.153323 7.878754 7.464167 6.842350 8.086111 8.293470
-8.821939 1.146284 70.765991  7.153323 6.842350
-9.473488 1.041323 72.294090  7.153323 7.464167 6.842350
-4.989258 0.920657 74.249619  7.153323 7.464167 6.842350 7.671396
-10.453419 1.054217 78.626373  7.671396 8.086111 8.293470
-17.938528 -4.015916 100.922424  8.086111 8.811795 9.226512 9.641587
-7.474527 0.650369 99.139732  8.811795 9.226512 9.641587 10.160830
5.175886 -0.121940 95.282898  8.811795 9.226512 8.500847 9.641587 10.160830 11.511920 12.237100
-7.164199 0.671762 94.646431  9.226512 8.500847 8.293470 10.160830
-18.880796 -1.306931 91.166626  7.878754 7.671396 8.086111 8.500847 8.293470
-19.061962 -0.222353 90.678154  7.671396 8.086111 8.811795 8.293470
-1.496498 -2.804052 120.042404  7.878754 7.464167 7.671396 8.086111 8.293470 9.641587
-12.098627 0.821118 113.808243  9.226512 9.641587 10.160830
4.638504 0.090438 93.315926  10.160830 11.511920 12.237100 10.784610
12.704453 -2.399249 90.839828  11.511920 12.237100 12.754690 13.583110
10.103402 -2.038496 92.277702  12.237100 12.754690 13.272350
66.918449 -12.214845 87.185768  12.237100 12.754690 14.826860 15.137840 15.448810 15.759900 16.071020 16.382090
21.691387 0.040313 85.272842  14.826860 15.137840
54.202656 -5.213273 82.184868  14.826860 15.137840 14.308540 15.448810 16.382090
34.481712 -2.473715 95.481575  14.826860 14.308540 13.997670 14.515890
50.594383 -3.081661 94.620377  14.308540 13.997670 15.448810 15.759900 16.382090
30.264126 -0.355114 93.373573  15.137840 15.448810 15.759900 16.071020
39.357121 -3.334112 81.344803  15.759900 16.071020 16.693090 16.382090
62.764198 -8.464325 90.269577  15.759900 16.071020 16.693090 16.382090
41.503441 -1.893212 96.530670  16.693090 16.382090
65.697998 -3.266332 90.562660  16.071020 16.382090 17.004190 17.315390 17.626480 18.870490 19.388680 18.248550 21.355440
65.834770 -9.916867 90.775246  16.693090 17.004190 17.315390
42.897808 -0.823385 90.247307  17.315390 17.626480 17.937460
64.853806 -1.906568 93.505287  17.626480 17.937460 18.248550
107.057007 -12.748223 69.384354  17.937460 18.870490 19.077720 19.388680
56.834251 -1.292016 88.374237  18.870490 18.663260 19.077720 19.906520 19.388680
61.013443 -1.423132 90.464874  18.870490 18.663260 19.077720 19.906520 20.424100 19.388680
61.736534 -1.484697 90.984825  19.077720 19.906520 20.941510
62.478260 -1.512995 89.212326  19.906520 20.941510
75.858910 -10.446662 129.730621  20.941510 23.537560 23.017610
79.585167 -7.301301 146.687729  23.537560 26.544050 24.056420 25.196320 25.507250 26.129230
68.891670 -2.017309 136.907028  26.544050 26.958500 27.373230 27.684070
62.964920 -4.893806 145.421463  26.958500 27.373230 28.409630 27.684070 27.995100
72.729599 -3.029935 170.605240  27.373230 28.409630 29.549760 29.964620 30.483050 31.001380 29.342530
63.052055 -3.370772 145.554077  28.409630 28.722280 27.995100
63.996857 -4.907168 161.325256  28.409630 28.722280 29.031560 29.549760 29.964620 29.342530
79.543358 -7.057061 162.293106  28.722280 29.031560 29.549760 29.964620
-32.632393 -10.859735 247.696533  49.353850 49.872030 50.183130 49.975760 49.146090
1.015176 -0.227467 237.026672  48.835360 49.353850 50.183130 49.975760 49.146090
64.892242 -2.295580 167.669296  29.549760 29.964620
64.064926 -8.182947 181.195328  29.964620 30.483050 31.001380
72.261269 -2.538444 167.360977  30.483050 31.001380 31.416200
73.666817 -5.460654 201.515579  31.001380 31.416200 31.830690 32.245260 32.763730
64.703751 -4.018480 171.198395  31.416200 31.830690
64.188042 -4.824726 180.051605  31.830690 32.245260
71.545609 -3.201902 196.798431  31.830690 32.245260 33.282310 33.593560 34.008350 34.526940 34.941520 32.763730
71.923363 -2.099415 183.619019  33.282310 33.593560
73.341026 -4.003585 196.783493  33.282310 33.593560 34.008350 34.526940
61.686184 -10.370770 217.367752  34.008350 34.526940
61.743130 -6.573984 217.919739  34.526940 34.941520 35.252510 36.807990 36.393220 35.978300
72.302162 -4.840709 205.291016  34.941520 35.252510 35.667200 36.393220 35.978300
72.617828 -6.332128 205.089920  35.252510 35.667200
60.993954 -6.691390 225.621567  35.667200 36.807990 37.430160 38.052310 36.393220 35.978300
65.803169 -9.763260 289.745178  35.667200 36.807990 37.430160 38.052310 40.540000 40.850980 40.021440 42.198260 41.058450 41.265810 42.819320 43.440050
73.889114 -2.447623 220.261551  37.430160 38.052310
69.029701 -8.752681 236.031830  38.052310 38.673810
66.345428 -2.348341 234.044495  38.673810 39.295720 40.540000 40.021440
58.894951 -3.236831 270.501190  38.673810 39.295720 40.540000 40.850980
68.343552 -2.280234 235.519119  40.540000 40.850980
58.878193 -7.338866 257.028687  40.850980 41.576790 42.198260 41.265810 42.819320
66.594505 -2.763438 275.073303  40.540000 40.850980 41.576790 40.021440 42.198260 41.058450 41.265810 42.819320
65.055336 -2.493928 281.606201  41.576790 40.021440 42.198260 42.819320
58.849125 -6.841758 258.044312  40.850980 41.576790 42.198260 41.058450
54.152699 -7.113407 249.883240  40.850980 41.576790 42.198260 41.058450 41.265810 42.819320 43.440050
70.143288 -2.876328 289.195587  40.850980 41.576790 41.058450 41.265810
50.973854 -2.457668 249.234924  41.058450 41.265810
57.972172 -3.778152 250.063339  42.198260 41.265810 42.819320 43.440050 43.957960
54.059715 -6.774636 249.973907  41.576790 42.198260 42.819320 43.440050
53.278358 -2.004630 247.812729  43.440050 43.957960 44.580030
56.887115 -2.277363 249.746933  43.957960 44.580030
46.690056 -2.962214 244.372620  43.957960 44.580030 44.995090 46.346350
51.927746 -1.984602 247.961624  44.580030 44.995090
48.403660 -3.507575 249.191833  44.995090 45.410680
-4.003150 -12.797916 249.343079  44.580030 45.410680 45.826510 46.761680 47.176650 46.346350
31.643562 -1.489983 239.115417  45.826510 46.761680 48.006070 47.176650
-97.327019 -9.093936 234.468384  44.580030 45.410680 46.761680 47.591510 48.006070 47.176650 46.346350 48.420530 49.353850 50.079370 50.183130 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-1.950271 -11.006904 228.144745  47.591510 48.006070
20.960081 -2.301723 245.403854  47.591510 48.006070 47.176650
28.767330 -4.356880 233.134018  47.591510 48.006070 47.176650
32.028419 -4.227260 252.162247  46.761680 47.176650 46.346350
35.293049 -1.276559 241.538025  46.761680 47.176650 46.346350
-80.671913 -7.194801 239.851395  46.761680 47.591510 48.006070 46.346350 48.420530 49.353850 49.872030 49.664690 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-4.956872 -6.203318 231.004715  48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 49.975760 50.390360 49.146090
18.095894 -2.732702 232.679031  48.835360 49.353850 49.146090
-7.415720 -6.211763 245.564133  48.420530 49.353850 49.872030 50.079370 50.183130 49.975760 50.390360
6.398714 -0.501674 241.620941  49.872030 49.664690 50.079370 50.183130 49.975760 50.390360 50.701310
-2.218396 -6.385463 245.166077  49.353850 49.872030 49.664690 50.079370 49.975760
18.324835 -2.189321 241.993195  50.079370 50.183130
11.639743 -0.608471 241.720627  50.079370 50.183130
5.525908 -0.858006 241.245529  50.079370 50.183130 51.116030 51.427120
-112.419899 -4.669648 237.466339  48.835360 49.872030 50.183130 51.116030 49.975760 50.390360 50.701310
-1.102487 -0.254333 236.168854  50.079370 51.116030 49.975760 50.390360 51.738100 51.427120
-54.058090 1.509877 233.515762  50.183130 51.116030 49.975760 50.390360 51.738100 51.427120
-25.564619 -7.211732 227.130112  50.390360 51.738100
-27.364775 -8.821091 226.486374  51.116030 51.738100 50.701310 51.427120
3.221200 -3.548117 243.649490  51.116030 50.701310 51.427120
1.774226 -0.285970 237.562363  51.738100 51.427120
-0.635712 -0.171003 236.739899  51.427120
-1.059790 -3.658088 231.305817  51.427120
-30.412394 -2.899050 247.300385  51.116030 51.738100 51.427120
-29.971947 -4.755363 249.209641  51.116030 51.738100 51.427120
-29.370672 -0.025809 233.669739  51.116030 51.738100 51.427120
-26.953337 -8.636746 225.313553  51.738100 51.427120
-52.455025 -5.491093 227.452087  51.116030 51.427120
5.355834 -0.864081 241.580719  51.427120
5.347086 -1.188523 243.395599  51.427120
3.357077 -1.322458 243.798553  51.427120
-1.626861 -0.837013 245.858856  51.427120
-165.745972 2.903041 220.369202  50.183130 51.116030 50.390360 51.738100 50.701310 51.427120
-112.691597 -0.011472 228.813354  51.738100 50.701310 51.427120
3.951107 -1.173900 240.519592  51.427120
-97.844574 -4.982763 236.821884  50.183130 51.427120
-141.183334 -5.544457 230.407028  45.410680 48.006070 46.346350 48.420530 48.835360 49.353850 49.872030 50.079370 50.183130 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-0.182038 -7.054711 246.087997  48.835360 49.353850 49.146090
-1.867853 -3.111746 231.357574  48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 50.701310 49.146090
-10.117998 -6.625717 245.310211  49.664690 50.079370 50.183130 49.975760 50.390360 50.701310 49.146090
21.946272 -1.842059 244.920517  48.006070 48.420530 48.835360 49.146090
21.908014 -1.762674 245.651062  48.420530 48.835360 49.146090
22.519159 -1.261985 244.672806  48.835360 49.146090
24.284060 -1.570968 242.947983  48.420530 48.835360 49.146090
24.346115 -1.718533 242.898331  48.420530 49.146090
-30.646950 0.030085 233.523392  49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-22.578041 0.274353 232.842957  51.738100 49.146090
-66.645027 -12.451528 248.349869  48.835360 50.183130 50.390360 51.738100 50.701310 51.427120 49.146090
-61.463120 -11.764582 247.638702  50.079370 50.183130 51.116030 50.390360 51.738100 50.701310 51.427120 49.146090
-33.129505 -10.994419 246.966476  48.835360 49.353850 49.664690 50.079370 49.146090
24.042982 -2.296282 242.846069  49.353850 49.146090
-28.765873 -11.957775 226.382187  49.353850 49.664690 50.183130 49.975760 49.146090
-19.646118 -1.735800 230.845047  48.835360 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 50.701310 49.146090
-41.300003 -1.789999 228.351456  49.353850 50.183130 50.390360 50.701310 49.146090
-25.814829 -0.742746 232.722870  48.835360 49.353850 49.872030 49.664690 50.183130 50.390360 50.701310 49.146090
-26.100809 -2.093685 233.327621  48.006070 48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-26.519835 -7.593569 226.509628  49.353850 49.872030 50.079370 49.975760 51.738100 51.427120 49.146090
-42.863171 -11.255562 225.048141  48.835360 49.353850 49.872030 50.079370 50.183130 49.975760 50.390360 49.146090
-74.302231 -11.278862 223.702148  49.353850 50.183130 51.116030 50.701310 51.427120 49.146090
-32.356560 -9.634792 229.466904  48.006070 47.176650 48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-53.308376 -12.873494 223.921463  47.591510 48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 49.975760 49.146090
-110.918579 -7.676274 233.564590  49.872030 49.664690 50.183130 49.975760 49.146090
-99.564301 -9.106085 239.081772  48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 50.701310 49.146090
-26.051451 -4.687741 227.776962  48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 50.701310 51.427120 49.146090
-26.128088 -5.434415 227.994324  48.835360 49.353850 50.079370 50.183130 51.116030 49.975760 50.701310 49.146090
-25.936005 -5.455345 229.534058  48.835360 49.353850 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-115.625221 0.639251 230.581299  47.591510 48.006070 47.176650 48.420530 49.353850 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-79.629311 -4.160269 231.141022  49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 51.738100 50.701310 51.427120 49.146090
1.150704 -0.331700 239.923981  49.353850 49.872030 49.664690 51.116030 49.975760 50.390360 50.701310 51.427120 49.146090
-51.996849 1.327789 236.493805  49.872030 50.183130 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-78.061790 -4.615081 228.337799  48.835360 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 50.701310 49.146090
-55.718250 -4.710601 227.258026  48.835360 49.353850 49.872030 49.664690 49.975760 49.146090
-61.958809 -9.318281 229.237534  46.761680 47.591510 48.006070 47.176650 46.346350 48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
5.308800 -0.851790 241.308472  49.353850 49.872030 49.664690 50.079370 51.116030 49.975760 50.701310 49.146090
-98.734390 -10.152159 232.250427  48.420530 48.835360 49.872030 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-55.994946 -8.084333 233.159378  47.591510 48.006070 49.146090
-39.685314 -5.640412 243.593140  48.420530 49.353850 49.664690 51.116030 50.701310 49.146090
-82.715790 -8.480947 242.804596  49.353850 49.872030 49.664690 50.079370 50.183130 49.975760 50.390360 51.738100 49.146090
4.042637 -3.727736 245.199402  48.835360 49.353850 49.872030 49.664690 50.079370 51.116030 49.975760 49.146090
4.178127 -3.849861 245.140900  48.835360 49.353850 50.079370 50.183130 49.146090
-26.300297 -2.742646 227.706558  48.006070 48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
3.037404 -3.949799 244.755554  48.835360 49.353850 50.079370 50.183130 49.975760 50.390360 49.146090
-10.457129 -4.763547 245.255722  48.420530 48.835360 49.353850 49.664690 50.079370 50.183130 50.701310 49.146090
-18.211088 -1.886336 243.412003  46.346350 48.835360 49.146090
-33.352470 -1.663556 243.889587  49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 49.146090
3.383606 -1.617101 240.535263  49.664690 50.079370 50.183130 49.975760 50.390360 50.701310 49.146090
-45.863888 0.175019 237.135681  48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 49.975760 50.390360 50.701310 49.146090
-49.385014 -3.423018 239.342087  48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 49.975760 50.390360 49.146090
-89.802399 -1.840481 236.430435  49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
15.853464 -2.349097 244.219086  49.353850 49.146090
15.412434 -2.674326 244.118790  49.353850 49.664690 50.079370 49.975760 49.146090
17.003458 -3.067181 244.457703  49.353850 49.872030 49.664690 49.146090
17.238640 -3.091008 244.866898  49.353850 49.872030 49.664690 49.146090
24.225195 -1.814827 242.288498  49.353850 49.146090
18.582277 -1.527134 241.897507  49.353850 49.872030 49.664690 49.975760 49.146090
-33.334103 -11.261501 246.651321  47.176650 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 49.975760 49.146090
17.467331 -1.396108 238.175873  49.664690 49.146090
-47.456444 1.159298 234.165497  48.835360 49.353850 50.079370 51.116030 51.738100 50.701310 51.427120 49.146090
20.637161 -1.704327 237.305313  49.353850 49.664690 49.146090
20.588387 -1.493757 236.918320  49.353850 49.664690 49.146090
20.455711 -1.683915 238.197586  49.353850 49.664690 49.146090
20.615477 -1.915742 237.582657  49.664690 49.146090
-71.785919 -10.662010 226.401138  48.006070 47.176650 48.835360 49.353850 49.664690 50.079370 50.183130 49.975760 49.146090
1.823516 -6.276503 231.281357  48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 49.975760 49.146090
8.623363 -2.780050 231.392838  49.872030 50.079370 50.183130 49.975760 50.390360 49.146090
1.977887 -3.074186 231.384720  49.353850 49.872030 50.079370 50.183130 51.116030 50.390360 50.701310 51.427120 49.146090
0.381161 -3.182477 231.511887  49.353850 49.872030 49.664690 50.079370 50.183130 49.975760 50.390360 50.701310 49.146090
2.124033 -3.394507 231.072723  48.835360 49.353850 49.872030 49.664690 50.079370 51.116030 49.975760 50.390360 50.701310 51.427120 49.146090
21.148224 -2.066585 235.338486  49.353850 49.146090
18.830652 -2.045465 235.237030  49.353850 49.664690 49.146090
14.709710 -3.737857 232.250000  49.353850 49.664690 49.146090
18.113895 -3.810736 232.602783  49.353850 49.146090
19.204018 -3.843779 232.605682  48.835360 49.146090
-27.609295 -1.500816 229.083725  49.353850 49.872030 50.079370 50.183130 51.116030 49.975760 50.390360 50.701310 49.146090
16.793602 -4.043968 247.165558  48.420530 48.835360 49.353850 49.146090
-24.919106 -2.517731 233.647842  44.580030 44.995090 45.410680 45.826510 46.761680 47.591510 48.006070 47.176650 48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 51.116030 49.975760 51.738100 51.427120 49.146090
-76.284058 -4.226126 240.024368  44.580030 44.995090 45.410680 45.826510 46.761680 47.591510 48.006070 47.176650 46.346350 48.420530 48.835360 49.353850 49.872030 50.079370 50.183130 49.975760 50.390360 50.701310 49.146090
-151.388062 -6.335724 235.258575  49.353850 49.664690 50.079370 50.183130 51.738100 49.146090
-118.920166 -10.793933 232.917358  48.006070 49.353850 50.079370 50.183130 51.738100 50.701310 51.427120 49.146090
21.880089 -2.068831 244.877457  48.835360 49.146090
5.009882 -1.106251 240.844543  49.353850 50.079370 50.183130 50.390360 50.701310 51.427120 49.146090
18.635078 -1.633431 241.870682  49.872030 49.664690 49.975760 49.146090
14.973946 -3.971550 244.251511  49.353850 49.664690 49.146090
2.580321 -6.334700 228.718857  48.420530 48.835360 49.353850 49.872030 49.664690 49.975760 49.146090
-59.750641 -9.613214 225.772446  48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-29.049910 -6.943741 229.229752  49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 49.146090
-57.682064 -13.392801 222.858475  48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 49.975760 49.146090
-74.127251 -4.153152 231.623764  45.410680 48.006070 47.176650 48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 49.975760 50.390360 51.738100 49.146090
-117.909431 -11.335535 230.936264  44.580030 44.995090 45.410680 45.826510 47.591510 48.006070 47.176650 48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-84.094238 -9.644497 230.681534  44.580030 44.995090 45.410680 45.826510 46.761680 47.591510 48.006070 47.176650 46.346350 48.420530 49.353850 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 50.701310 51.427120 49.146090
21.946356 -1.878487 246.092819  48.835360 49.146090
-26.573517 -5.416670 227.877609  46.761680 47.591510 47.176650 46.346350 48.420530 48.835360 49.353850 49.872030 51.116030 51.738100 50.701310 51.427120 49.146090
-27.129253 -5.180887 227.092667  48.835360 49.353850 50.183130 51.116030 50.701310 51.427120 49.146090
-146.325470 2.246520 222.631790  47.591510 48.006070 48.420530 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-100.946281 -2.815098 230.860291  45.826510 47.591510 48.835360 49.353850 49.872030 50.183130 51.116030 49.975760 50.390360 51.738100 49.146090
-28.096008 -8.050127 227.253510  47.591510 48.420530 50.079370 49.146090
-40.871815 -4.301950 243.406372  48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 49.975760 50.390360 51.738100 49.146090
-90.082993 -4.528869 241.729660  47.591510 48.006070 47.176650 48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.390360 50.701310 51.427120 49.146090
-138.184494 -13.236156 240.901382  45.410680 45.826510 46.761680 47.591510 48.006070 47.176650 46.346350 48.420530 48.835360 49.353850 49.872030 50.079370 50.183130 51.116030 49.975760 50.390360 50.701310 49.146090
-71.594337 -4.588905 229.185318  48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 49.146090
-68.906258 -4.875210 226.556168  48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.427120 49.146090
-61.363689 -8.750640 227.866058  48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
13.552587 -1.674710 237.454788  49.353850 49.664690 49.146090
1.957526 -6.378459 230.980087  48.420530 49.353850 49.146090
4.600081 -0.445292 240.728195  49.872030 49.664690 50.183130 51.116030 49.975760 50.390360 50.701310 49.146090
1.300094 -0.336304 239.917953  48.420530 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 50.701310 49.146090
-32.076550 -1.650365 243.867416  48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 49.975760 49.146090
-26.718073 -4.251116 229.867737  48.835360 49.353850 50.079370 49.146090
-40.398117 -6.240339 228.976212  48.006070 48.420530 49.664690 50.079370 49.975760 50.390360 49.146090
17.105537 -4.857973 244.971970  48.835360 49.146090
-4.763707 -1.389324 240.378143  48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 50.701310 49.146090
-52.580677 0.591200 236.771133  49.353850 49.664690 50.079370 50.183130 51.116030 50.390360 51.738100 50.701310 51.427120 49.146090
-94.706039 -1.824947 236.250977  44.580030 46.761680 47.591510 48.006070 47.176650 48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 50.701310 49.146090
3.117491 -3.942636 244.748917  48.835360 49.353850 49.872030 50.079370 50.183130 49.975760 50.390360 50.701310 49.146090
15.794130 -4.585777 244.390366  49.353850 49.146090
16.582964 -4.790037 244.612076  48.835360 49.146090
15.638632 -2.341829 244.251663  48.835360 49.146090
15.350564 -2.674980 244.145828  49.353850 49.664690 50.079370 49.975760 49.146090
17.005125 -3.088157 244.456589  49.353850 49.146090
16.968565 -3.254995 244.419434  49.353850 49.872030 49.664690 49.975760 49.146090
18.456581 -3.920103 247.586212  48.420530 49.146090
18.649475 -1.557421 241.890121  49.353850 49.664690 49.146090
-1.811241 -6.342462 245.823349  48.835360 49.353850 49.872030 49.664690 50.079370 49.146090
0.193046 -7.005511 246.037674  48.420530 48.835360 49.353850 49.146090
-10.159765 -6.613380 245.316162  48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 49.975760 50.390360 50.701310 49.146090
19.901443 -1.489163 238.312759  49.664690 49.146090
20.643299 -1.707435 237.305923  48.835360 49.353850 49.664690 49.146090
20.568504 -1.738193 236.945786  49.353850 49.146090
19.849072 -0.888530 238.273834  48.835360 49.353850 49.146090
-69.379189 -11.336187 225.864059  45.826510 47.591510 48.420530 49.872030 49.664690 50.079370 50.183130 51.116030 51.738100 50.701310 51.427120 49.146090
-4.153118 -3.291268 231.046005  48.835360 49.353850 51.116030 50.390360 51.738100 50.701310 51.427120 49.146090
19.655481 -2.072079 235.627777  49.353850 49.664690 49.146090
17.967945 -3.827981 232.471085  48.420530 48.835360 49.353850 49.146090
18.135258 -2.736603 232.703995  49.353850 49.146090
21.144497 -2.077531 235.336304  49.353850 49.146090
4.435925 -0.804201 241.343643  49.353850 49.664690 50.079370 49.146090
4.922964 -1.102758 240.841003  48.006070 49.353850 50.079370 50.183130 51.116030 50.701310 49.146090
-89.615158 -0.100466 232.266373  44.580030 44.995090 45.410680 45.826510 46.761680 47.591510 48.006070 47.176650 46.346350 48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 49.975760 49.146090
-181.399353 -2.259924 226.348373  45.826510 48.835360 49.353850 51.738100 49.146090
-89.089485 -9.760813 245.249191  48.006070 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 51.427120 49.146090
-63.875607 -6.955729 230.038910  48.835360 49.353850 50.079370 50.183130 50.390360 49.146090
-53.527618 -7.938161 228.984055  48.420530 49.872030 49.664690 50.183130 51.116030 50.390360 51.738100 50.701310 51.427120 49.146090
21.935133 -2.077274 244.852905  48.835360 49.146090
-28.497814 -8.120869 227.036285  51.116030 50.390360 51.738100 51.427120 49.146090
-35.063347 -10.344000 226.867416  48.835360 50.183130 51.116030 50.390360 50.701310 49.146090
-37.177204 -6.106760 229.481720  47.591510 48.420530 48.835360 49.146090
-42.168640 -3.008608 244.436432  48.835360 49.353850 50.390360 49.146090
-28.885698 -6.931307 229.224503  47.591510 48.006070 48.420530 50.079370 49.975760 50.390360 49.146090
-32.793041 -9.707314 229.324356  48.006070 48.420530 49.353850 49.872030 50.390360 50.701310 51.427120 49.146090
-58.937344 -13.555284 222.579727  45.826510 46.761680 47.591510 48.006070 47.176650 46.346350 48.420530 48.835360 49.353850 49.975760 49.146090
-140.702179 -11.278293 224.387115  45.826510 46.761680 47.176650 48.420530 48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-25.750286 -4.754069 227.049515  48.835360 49.353850 49.872030 49.664690 50.079370 50.183130 51.116030 49.975760 50.390360 51.738100 50.701310 51.427120 49.146090
-24.749657 -5.255625 226.999741  48.420530 48.835360 51.427120 49.146090
2.318591 -3.824979 245.301056  48.835360 49.353850 49.872030 49.975760 50.390360 49.146090
-60.292389 -0.033629 241.746445  44.580030 44.995090 45.410680 45.826510 46.761680 47.591510 48.006070 47.176650 46.346350 48.835360 49.353850 49.664690 49.975760 49.146090
